Restoran_Adi,Restoran_Link,new_Yorum
envai karaköy lokantası (maslak),https://tgoyemek.com/restoranlar/205494,"yayla çorbasına bayıldım,ıspanakta güzeldi.her ikiside sıcak geldi,ayrıca ikram salata içinde teşekkür ederim"
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,her şey çok lezzetliydi paketleme mükemmel gerçekten teşekkürler
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,lahmacun da döner de efsane
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,maslakta otururken soyluyordum etilere gectim hala soyluyorum en iyi isletmelerden hizli sicak ve taze geliyor doner antep lahmacun cok basarili
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,efsane çok lezzetli
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,"ben ne yedim öyle ya ,bu dönerse bugüne kadar yediklerim neydi. efsaannneeee yaaaa"
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,onlar daha iyisini yapana kadar en iyisi bu.
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,çok çok lezzetliydi. tekrar sipariş vereceğim.
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,çok çok iyiydi hem sıcaktı hem içi fulldu böyle işletmelerin çoğalması lazım
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,"hakkaten cok basarili,hizli ve sicak geldi. cok da lezzetliydi elinize saglik"
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,hayatımda bu kadar lezzetli bir porsiyon döner yememiştim ellerinize sağlık
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,doneri lezzetli. es kaza baska donercilerden hem de yakin fiyatlara doner yedikten sonra kiymeti daha da anlasiliyor.
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,"yine muhteşemdi, her seferinde memnun kalıyorum"
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,yemek çok lezzetliydi. kuryemiz ufuk beye hızı ve güler yüzü için ayrıca teşekkürler
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,"ilk defa soyledim ve daha fazla soylicem, inanilmaz lezzetli ve sicak geldi"
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,"her zamanki gibi hizli, lezzetli ve sicacik "
i̇kamet döner (pınar),https://tgoyemek.com/restoranlar/217826,"pilav üstü döner sipariş ettim pide arası geldi havuç dilim baklava da sipariş etmiştim ama o hiç gelmedi. i̇adeyi bekliyorum. yemek kartımdaki son paraydı,iade gelmeden başka bir yerden de sipariş veremedim. sağ olun yani cidden."
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,haftada bir abone oldum mis gibi et döner sıcak geliyor yanında gelen söğüş oldukça yeterli . 3 kişi doyuyoruz allah bereket versin . yepita boşnak börek
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,on numara fiyat
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,"çok lezzetli,hızlı ve sıcak geldi teşekkürler"
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,10 yıldız olsa on verirdim fiyatlarına göre çok iyiydi gençler bu fiyatlarla size çok kalmaz
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,lezzetli ve doyurucu. çok hızlı ve sıcak geliyor.
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,döneri muazzam derecede güzel . lavaslar tazecik . söğüş olarak gelen sebzeler taze taze hazırlanmış . ufak bir ricada bulundum yapmışlar . kurye güleryüzlü. haftada 1 söylüyorum çok beğeniyorum. yepita boşnak börekçisi 
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,uzun süre önceki siparişimde de aynı sorun vardı yine sadece tadına bakıp olduğu gibi çöpe atmak zorunda kaldık. düzelmiştir diye deneyelim dedik. eskiden güzeldi ama ne olduysa artık. bir daha asla !
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,kurye hızlı geldi yemekler sıcaktı herşey kaliteli
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,harika sıcak ve hızlı geldi
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,i̇lk siparişimdi olumsuz yorumlardan biraz çekindim açıkçası.ama paket serviste zaten restorandaki gibi sıcacık bir servis beklenmez. ben gayet memnun kaldım etler kaliteyliydi bence. söğüşteki salatalar tazeydi . sadece soğan yoktu . bundan sonra haftada bir söylerim elinize sağlık
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,buz gibiydi etle alakası yoktu tadı bi değişikti anlam veremedim
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,"herşey çok güzeldi ve doyurucu bir menüydü,tek sorun ekstra lavaş sipariş ettim ancak gönderilmemiş ama lezzetli ve fiyat performans olan bu menüye düşük yıldız vermeye kıyamadım:)"
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,"pilavüstü döner söyledim, yanında ekmek, pide vs. hiçbisey cıkmadı. büyük hayal kırıklığı."
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,bu kez çok kötüydü maalesef
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,100 grammış yerken içinde döneri arıyorsunuz yanlış sipariş geldi sandım
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,"daha önce bir çok kez sipariş verdim ama ilk kez bu kadar kuru, soğuk ve lezzetsizdi."
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,volkan bey’in harika lezzeti ve hızlı teslimatı icin sonsuz teşekkürler 
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,teslimat 13 18 di 13 50 de geldi her aramamda 5 dakkaya sizde dediler 35 dakka sonra geldi
çıtır büfe (reşitpaşa),https://tgoyemek.com/restoranlar/108530,hem döneri beğenmedim hemde kuryenin tavırları anlayamadım bizde çalıştığımız için sipariş veriyoruz sürekli telefona bakamayız ya trip yedik birde kendisinden
öz doydum kebap (i̇stinye),https://tgoyemek.com/restoranlar/177185,güzeldi ama üzerinde fındık yoktu. beğendim
öz doydum kebap (i̇stinye),https://tgoyemek.com/restoranlar/177185,bu sefer kolayı gönderdiler onu da zero yerine normal gönderdiler
öz doydum kebap (i̇stinye),https://tgoyemek.com/restoranlar/177185,bi daha asla. tavuk diye bit kadar parçaları olan kızarmış bi şey geldi. diğer malzemeler yine o kadar kötü değildi.
öz doydum kebap (i̇stinye),https://tgoyemek.com/restoranlar/177185,domates çorbası ve ton balıklı salatasına bayılıyorum ve düzenli olarak sipariş ettiğim bir restoran. yalnızca bu sefer gözden kaçmış olacak ki çorbanın yanında gelen kaşar peyniri biraz problemliydi :/
öz doydum kebap (i̇stinye),https://tgoyemek.com/restoranlar/177185,kötü yorumlar biraz endişelendirmişti ama lezzetini oldukça beğendim. hızlı da geldi. yanında sos olmasını isterdim ama memnun kaldım.
