Restoran Adı,Puan,degerlendirme,min siparis,mutfak,fiyat aralıgı kod,Teslimat Süresi Dk
milano pizza,2.4,15000.0,500,pizza,3.0,32.5
pizzam express,2.3,100.0,300,pizza,2.0,25.0
pizza roma,4.4,100.0,700,pizza,2.0,32.5
pasaport pizza,7.2,100.0,300,pizza,3.0,35.0
pizza coo,1.4,71.0,300,pizza,2.0,20.0
pizza station,1.3,3000.0,300,pizza,2.0,20.0
pizza darts,8.4,2000.0,1.500,pizza,3.0,32.5
pizza mozz,4.4,15.0,110,pizza,2.0,32.5
express pide pizza,2.4,100.0,50,pizza,2.0,50.0
pizza dart,8.4,100.0,1.500,pizza,3.0,32.5
fast pizza,4.3,100.0,3.000,pizza,2.0,50.0
pizza bianca italiano,8.4,19.0,1.500,pizza,2.0,37.5
etiler pizzeria,3.3,20000.0,1.500,pizza,3.0,45.0
fermente pizza,1.5,9.0,0,pizza,2.0,60.0
wood fire pizza,4.4,85.0,700,pizza,2.0,27.5
sbarro pizza,8.3,50.0,500,pizza,3.0,60.0
danilo's pizza,5.3,33.0,600,pizza,3.0,32.5
aleo very italiano,3.4,54.0,0,pizza,3.0,32.5
mh pizza & döner,1.3,10000.0,1.199,pizza,3.0,50.0
just pizza,1.4,71.0,300,pizza,1.0,35.0
pizzeria ulus,1.4,100.0,0,pizza,2.0,60.0
abovv pizza,8.3,100.0,400,pizza,1.0,37.5
pizza wall,5.3,11.0,600,pizza,3.0,27.5
my secret pizza,8.4,61.0,50,pizza,2.0,22.5
çılgın burger,4.86,4756.11,600,döner,2.0,60.0
ege'den,2.4,500.0,400,kebap ,2.0,37.5
napoli pizza,4.86,4756.11,300,pizza,2.0,30.0
white pizza by serhat doğramacı (maslak),3.4,70000.0,200,döner,2.0,27.5
piccola pizzeria,8.3,50.0,100,pizza,1.0,22.5
asyam pizza,8.4,32.0,0,pizza,2.0,65.0
pizza sando,4.86,4756.11,750,pizza,2.0,60.0
urfa kürek pide lahmacun (çeliktepe),5.4,62.0,70,kebap,1.0,32.5
şahane lahmacun & kebap,4.4,53.0,100,kebap,2.0,50.0
the upper crust pizza (maslak),7.4,500.0,100,pizza,3.0,45.0
kardelen kebap,9.3,100.0,200,kebap,1.0,55.0
elif pizza & tandır diyarı,1.3,8.0,300,kebap,1.0,25.0
i̇sot çiğkofte sofrasi,5.0,11.0,30,döner,2.0,60.0
dürüm molası hatay usulü döner,3.4,63.0,100,kebap ,1.0,22.5
4 mevsim salad,4.86,4756.11,0,kebap,2.0,32.5
as öz adıyaman,6.4,100.0,110,döner,1.0,32.5
antakya çıtır pide & lahmacun,4.4,100.0,250,döner,3.0,55.0
raffaele pizza (huzur),8.4,32.0,0,pizza,2.0,60.0
